[FileName]-[Scan]	Xs	Vs
RH_Heart_TMTHF_FR1WO_duplicate.txt-101614	0.085165128	707223.5833
RH_Heart_TMTHF_FR1WO_duplicate.txt-101615	0.138614435	406523.125
RH_Heart_TMTHF_FR1WO_duplicate.txt-101616	0.134542435	335665.3959
RH_Heart_TMTHF_FR1WO_duplicate.txt-101619	0.007759877	80767.27865
RH_Heart_TMTHF_FR1WO_duplicate.txt-101622	0.103054505	54666.66146
RH_Heart_TMTHF_FR1WO_duplicate.txt-101624	0.137703559	293747.3646
RH_Heart_TMTHF_FR1WO_duplicate.txt-101626	0.126805679	80638.90104
RH_Heart_TMTHF_FR1WO_duplicate.txt-101629	-0.058656093	64461.61198
RH_Heart_TMTHF_FR1WO_duplicate.txt-101639	0.203415601	137367.3125
RH_Heart_TMTHF_FR1WO_duplicate.txt-101640	0.087744519	118844.125
RH_Heart_TMTHF_FR1WO_duplicate.txt-101656	-0.064308071	202251.6146
RH_Heart_TMTHF_FR1WO_duplicate.txt-101658	0.162752402	128533.0209
RH_Heart_TMTHF_FR1WO_duplicate.txt-101664	-0.206022065	34814.53711
RH_Heart_TMTHF_FR1WO_duplicate.txt-101679	-0.04114142	87254.72135
RH_Heart_TMTHF_FR1WO_duplicate.txt-101688	-0.026310332	126661.7838
RH_Heart_TMTHF_FR1WO_duplicate.txt-101704	0.248928515	96640.03906
RH_Heart_TMTHF_FR1WO_duplicate.txt-101718	0.14882307	50981.21354
RH_Heart_TMTHF_FR1WO_duplicate.txt-101719	0.064744825	74515.70313
RH_Heart_TMTHF_FR1WO_duplicate.txt-101731	-0.102331046	12254.24544
RH_Heart_TMTHF_FR1WO_duplicate.txt-101745	0.112523127	47385.77734
RH_Heart_TMTHF_FR1WO_duplicate.txt-101750	0.109994051	21918.29753
RH_Heart_TMTHF_FR1WO_duplicate.txt-101757	0.191239307	76624.10417
RH_Heart_TMTHF_FR1WO_duplicate.txt-101760	0.343856056	47570.67969
RH_Heart_TMTHF_FR1WO_duplicate.txt-101776	0.176494926	64010.47526
RH_Heart_TMTHF_FR1WO_duplicate.txt-101783	-0.207715324	21184.02279
RH_Heart_TMTHF_FR1WO_duplicate.txt-101785	0.025696296	32556.64323
RH_Heart_TMTHF_FR1WO_duplicate.txt-101796	0.058906531	41654.07422
RH_Heart_TMTHF_FR1WO_duplicate.txt-101799	-0.140953315	488881.7396
RH_Heart_TMTHF_FR1WO_duplicate.txt-101828	0.254763851	55937.5625
RH_Heart_TMTHF_FR1WO_duplicate.txt-101834	0.183673471	211235.4479
RH_Heart_TMTHF_FR1WO_duplicate.txt-101837	0.121298094	139085.5312
RH_Heart_TMTHF_FR1WO_duplicate.txt-101838	0.07738945	115550.888
RH_Heart_TMTHF_FR1WO_duplicate.txt-101849	0.134724168	90667.63541
RH_Heart_TMTHF_FR1WO_duplicate.txt-101856	0.18451328	32331.26758
RH_Heart_TMTHF_FR1WO_duplicate.txt-101860	0.206110075	104835.3933
RH_Heart_TMTHF_FR1WO_duplicate.txt-101872	0.251735881	70251.49219
RH_Heart_TMTHF_FR1WO_duplicate.txt-101909	-0.024050625	60990.81511
RH_Heart_TMTHF_FR1WO_duplicate.txt-101920	-0.144821881	17346.33919
RH_Heart_TMTHF_FR1WO_duplicate.txt-101934	0.091103132	40638.7513
RH_Heart_TMTHF_FR1WO_duplicate.txt-101935	-0.046927593	30506.27018
RH_Heart_TMTHF_FR1WO_duplicate.txt-101956	0.024569917	42640.22657
RH_Heart_TMTHF_FR1WO_duplicate.txt-101959	-0.179146804	53196.40755
RH_Heart_TMTHF_FR1WO_duplicate.txt-101989	0.017514165	62953.57682
RH_Heart_TMTHF_FR1WO_duplicate.txt-101996	-0.010244217	40670.32552
RH_Heart_TMTHF_FR1WO_duplicate.txt-102005	0.294125406	14363.92285
RH_Heart_TMTHF_FR1WO_duplicate.txt-102013	-0.172609292	305730.1198
RH_Heart_TMTHF_FR1WO_duplicate.txt-102015	0.012907323	26861.32682
RH_Heart_TMTHF_FR1WO_duplicate.txt-102017	0.111898642	60130.33984
RH_Heart_TMTHF_FR1WO_duplicate.txt-102028	0.068298627	68277.30339
RH_Heart_TMTHF_FR1WO_duplicate.txt-102035	-0.200232959	13420.48145
RH_Heart_TMTHF_FR1WO_duplicate.txt-102049	-0.081078282	57670.10026
RH_Heart_TMTHF_FR1WO_duplicate.txt-102057	0.145386819	107380.6485
RH_Heart_TMTHF_FR1WO_duplicate.txt-102058	-0.034018128	98004.7526
RH_Heart_TMTHF_FR1WO_duplicate.txt-102060	0.105554323	72799.38021
RH_Heart_TMTHF_FR1WO_duplicate.txt-102062	0.060410894	59373.03646
RH_Heart_TMTHF_FR1WO_duplicate.txt-102077	0.101344969	62534.4987
RH_Heart_TMTHF_FR1WO_duplicate.txt-102085	0.021976644	52193.81901
RH_Heart_TMTHF_FR1WO_duplicate.txt-102110	-0.155119508	16613.74089
RH_Heart_TMTHF_FR1WO_duplicate.txt-102111	-0.058935255	38223.47266
RH_Heart_TMTHF_FR1WO_duplicate.txt-102116	0.088270795	33293.31641
RH_Heart_TMTHF_FR1WO_duplicate.txt-102147	0.24208411	23313.38086
RH_Heart_TMTHF_FR1WO_duplicate.txt-102149	0.335461858	20028.96549
RH_Heart_TMTHF_FR1WO_duplicate.txt-102156	0.081703021	57588.31771
RH_Heart_TMTHF_FR1WO_duplicate.txt-102175	0.157960272	33209.57031
RH_Heart_TMTHF_FR1WO_duplicate.txt-102213	-0.019153475	26063.3125
RH_Heart_TMTHF_FR1WO_duplicate.txt-102231	-0.204731421	196971.1302
RH_Heart_TMTHF_FR1WO_duplicate.txt-102233	-0.098448104	18447.1543
RH_Heart_TMTHF_FR1WO_duplicate.txt-102269	0.252346818	68587.35547
RH_Heart_TMTHF_FR1WO_duplicate.txt-102270	0.09093248	47368.05078
RH_Heart_TMTHF_FR1WO_duplicate.txt-102274	0.098784222	50370.89323
RH_Heart_TMTHF_FR1WO_duplicate.txt-102315	0.07527143	45619.05339
RH_Heart_TMTHF_FR1WO_duplicate.txt-102327	-0.132310786	30297.30794
RH_Heart_TMTHF_FR1WO_duplicate.txt-102368	0.126445034	21296.86523
RH_Heart_TMTHF_FR1WO_duplicate.txt-102427	-0.066699737	22118.66341
RH_Heart_TMTHF_FR1WO_duplicate.txt-102444	-0.307641404	164172.5651
RH_Heart_TMTHF_FR1WO_duplicate.txt-102454	-0.009518603	63103.78776
RH_Heart_TMTHF_FR1WO_duplicate.txt-102483	-0.033219194	15129.16113
RH_Heart_TMTHF_FR1WO_duplicate.txt-102487	0.165665158	56681.13281
RH_Heart_TMTHF_FR1WO_duplicate.txt-102488	0.149191535	64445.59505
RH_Heart_TMTHF_FR1WO_duplicate.txt-102489	0.038408105	50146.01302
RH_Heart_TMTHF_FR1WO_duplicate.txt-102500	0.136782972	43905.7513
RH_Heart_TMTHF_FR1WO_duplicate.txt-102527	0.091554331	45452.7474
RH_Heart_TMTHF_FR1WO_duplicate.txt-102551	0.066418723	33239.55599
RH_Heart_TMTHF_FR1WO_duplicate.txt-102554	0.172934003	35995.99479
RH_Heart_TMTHF_FR1WO_duplicate.txt-102586	-0.242452496	19682.32032
RH_Heart_TMTHF_FR1WO_duplicate.txt-102590	0.069030522	26794.9069
RH_Heart_TMTHF_FR1WO_duplicate.txt-102599	0.045960406	28314.06185
RH_Heart_TMTHF_FR1WO_duplicate.txt-102613	0.200097586	19659.3457
RH_Heart_TMTHF_FR1WO_duplicate.txt-102641	-0.044368541	40203.83333
RH_Heart_TMTHF_FR1WO_duplicate.txt-102647	-0.207321211	18964.00456
RH_Heart_TMTHF_FR1WO_duplicate.txt-102666	0.032545366	106148.401
RH_Heart_TMTHF_FR1WO_duplicate.txt-102799	0.107280836	21381.5319
